record;stcrt;x;y;code;url
62;stcrt-2018-73249;124667;485955;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73249
63;stcrt-2018-73252;126049;481536;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73252
64;stcrt-2018-73259;124862;486468;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73259
65;stcrt-2018-73262;122872;485107;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73262
66;stcrt-2018-73264;129197;485068;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73264
67;stcrt-2018-73266;124342;487128;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73266
68;stcrt-2018-73270;129325;484734;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73270
69;stcrt-2018-73273;129321;484737;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73273
70;stcrt-2018-73277;129149;484891;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73277
71;stcrt-2018-73280;123172;483471;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73280
72;stcrt-2018-73285;124301;487857;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-73285
73;stcrt-2018-73288;122968;484149;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73288
74;stcrt-2018-73292;124334;485548;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73292
75;stcrt-2018-73300;124302;487768;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-73300
76;stcrt-2018-73290;124366;485897;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73290
77;stcrt-2018-73295;124356;485198;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73295
78;stcrt-2018-73302;121966;485719;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73302
78;stcrt-2018-73302;124670;484788;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73302
79;stcrt-2018-73304;128106;485710;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73304
80;stcrt-2018-73306;128232;485854;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73306
81;stcrt-2018-73309;129290;484668;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73309
82;stcrt-2018-73314;124922;484015;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73314
83;stcrt-2018-73307;125507;481550;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73307
84;stcrt-2018-73308;122867;485097;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73308
85;stcrt-2018-73312;123916;484525;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73312
86;stcrt-2018-73316;127254;486037;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73316
87;stcrt-2018-73317;125099;482168;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73317
88;stcrt-2018-73318;124266;487055;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73318
89;stcrt-2018-73320;122964;482838;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73320
90;stcrt-2018-73326;124028;486094;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73326
91;stcrt-2018-73328;121402;491167;E10;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
91;stcrt-2018-73328;121402;491167;E11;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
91;stcrt-2018-73328;122906;491224;E10;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
91;stcrt-2018-73328;122906;491224;E11;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
91;stcrt-2018-73328;123091;490882;E10;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
91;stcrt-2018-73328;123091;490882;E11;https://zoek.officielebekendmakingen.nl/stcrt-2018-73328
92;stcrt-2018-73322;128432;485522;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73322
93;stcrt-2018-73329;128767;485213;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73329
94;stcrt-2018-73332;124577;486193;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73332
95;stcrt-2018-73325;124188;485784;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73325
96;stcrt-2018-73335;124427;487358;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-73335
97;stcrt-2018-73340;121102;490888;C2;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121102;490888;C3;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121102;490888;E8;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121134;490823;C2;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121134;490823;C3;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121134;490823;E8;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121238;490915;C2;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121238;490915;C3;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
97;stcrt-2018-73340;121238;490915;E8;https://zoek.officielebekendmakingen.nl/stcrt-2018-73340
98;stcrt-2018-73400;125614;481673;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73400
99;stcrt-2018-72561;117923;488061;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72561
100;stcrt-2018-72564;117708;487882;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72564
101;stcrt-2018-72570;117869;488161;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72570
102;stcrt-2018-72577;118649;486207;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72577
103;stcrt-2018-72582;120813;488149;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-72582
104;stcrt-2018-72139;125894;479240;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72139
105;stcrt-2018-72154;128229;479082;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72154
106;stcrt-2018-71884;129749;479614;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-71884
107;stcrt-2018-72026;121594;487170;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-72026
108;stcrt-2018-72027;121216;487453;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72027
109;stcrt-2018-72018;125365;481176;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72018
110;stcrt-2018-71981;128129;479196;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-71981
112;stcrt-2018-71899;125151;488966;C2;https://zoek.officielebekendmakingen.nl/stcrt-2018-71899
112;stcrt-2018-71899;125151;488966;C3;https://zoek.officielebekendmakingen.nl/stcrt-2018-71899
112;stcrt-2018-71899;125151;488966;L3;https://zoek.officielebekendmakingen.nl/stcrt-2018-71899
113;stcrt-2018-71652;120335;487494;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-71652
114;stcrt-2018-71648;121081;488642;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-71648
